2026-05-13	コンビニ	PayPay	タバコ	500
2026-05-13	コンビニ	PayPay	缶コーヒー	138
2026-05-13	三和	PayPay	食費	428
2026-05-14	コンビニ	PayPay	タバコ	500
2026-05-14	コンビニ	PayPay	缶コーヒー	138
2026-05-15	gpt-plus	三井住友銀行	AIサブスク	3000
2026-05-15	三和	PayPay	食費	128
2026-05-15	フリマ売り上げとsafariの差額	PayPay	日用品	14
2026-05-16	コンビニ	PayPay	タバコ	500
2026-05-17	コンビニ	PayPay	タバコ	500
2026-05-17	ハンズ文房具	PayPay	日用品	1540
2026-05-18	コンビニ	PayPay	タバコ	500
2026-05-18	病院代¥500のため現金引き出し	三井住友銀行	予備費	1000
2026-05-18	投資信託	三井住友銀行	オルカン積立	1000
2026-05-19	コンビニ	PayPay	タバコ	500
2026-05-20	コンビニ	PayPay	タバコ	500
2026-05-20	三和	PayPay	食費	800
2026-05-20	wifi	三井住友銀行	通信費	4810
2026-05-21	コンビニ	PayPay	タバコ	500
2026-05-21	自動販売機	PayPay	缶コーヒー	100
2026-05-22	コンビニ	PayPay	タバコ	500
2026-05-22	progate解約漏れ	三井住友銀行	一般サブスク	1490
2026-05-23	コンビニ	PayPay	タバコ	500
2026-05-24	smbc→paypay	三井住友銀行	PayPay	2000
2026-05-24	コンビニ	PayPay	タバコ	500
2026-05-24	三和	PayPay	食費	746
2026-05-24	google-one	三井住友銀行	AIサブスク	1450
2026-05-25	コンビニ	PayPay	タバコ	500
2026-05-26	smbc→paypay	三井住友銀行	PayPay	5000
2026-05-26	コンビニ	PayPay	タバコ	500
2026-05-26	三和	PayPay	食費	535
2026-05-26	コンビニ	PayPay	タバコ	500
2026-05-27	コンビニ	PayPay	食費	198
2026-05-27	go書籍	PayPay	学習費	550	
2026-05-27	コンビニ	PayPay	タバコ	500
2026-05-28	pasmoチャージ	三井住友銀行	交通費	500
2026-05-28	三和	PayPay	食費	1360
2026-05-28	タバコ	PayPay	タバコ	170
2026-05-28	タバコ	PayPay	タバコ	500	
2026-05-29	タバコ	PayPay	タバコ	500	
2026-05-30	コンビニ	三井住友銀行	タバコ	638
2026-05-31	コンビニ	三井住友銀行	タバコ	500	tax=private	biz=0
2026-05-31	自動販売機	PayPay	缶コーヒー	36	tax=private	biz=0
2026-05-31	ポイント	ポイント収入	PayPay	35
2026-06-01	移動smbc -> paypay	三井住友銀行	PayPay	3000	tax=private	biz=0
2026-06-01	三和	PayPay	食費	1522	tax=private	biz=0
2026-06-01	コンビニ	PayPay	タバコ	500	tax=private	biz=0
2026-06-02	コンビニ	PayPay	タバコ	500	tax=private	biz=0
2026-06-03	自動販売機	PayPay	缶コーヒー	160	tax=private	biz=0
2026-06-03	コンビニ	三井住友銀行	タバコ	500	tax=private	biz=0
2026-06-03	コンビニ	三井住友銀行	缶コーヒー	138	tax=private	biz=0
2026-06-03	本屋(簿記配列)	三井住友銀行	学習費	2310	tax=private	biz=0
2026-06-04	移動smbc -> paypay	三井住友銀行	PayPay	2000	tax=private	biz=0
2026-06-04	三和	PayPay	食費	745	tax=private	biz=0
2026-06-04	google-api	三井住友銀行	予備費	748	tax=private	biz=0
2026-06-04	ゆうちょ -> smbc	ゆうちょ銀行	三井住友銀行	8000
2026-06-04	自動販売機	PayPay	缶コーヒー	160	tax=private	biz=0
2026-06-04	コンビニ	PayPay	タバコ	500	tax=private	biz=0
2026-06-05	コンビニ	PayPay	タバコ	500	tax=private	biz=0
2026-06-05	三和	PayPay	食費	341	tax=private	biz=0
2026-06-06	ゆうちょ -> smbc	ゆうちょ銀行	三井住友銀行	2016
2026-06-06	移動	三井住友銀行	オルカン積立	2000	tax=private	biz=0
2026-06-06	コンビニ	三井住友銀行	タバコ	500	tax=private	biz=0
2026-06-07	コンビニ	三井住友銀行	タバコ	500	tax=private	biz=0
2026-06-07	コンビニパン	三井住友銀行	食費	265	tax=private	biz=0
2026-06-07	ゆうちょ残高調整	開始残高	ゆうちょ銀行	16
2026-06-07	三和	三井住友銀行	食費	1066	tax=private	biz=0
2026-06-08	三和	三井住友銀行	食費	533	tax=private	biz=0
2026-06-08	三和	三井住友銀行	食費ストック	238	tax=private	biz=0
2026-06-08	コンビニ	三井住友銀行	タバコ	500	tax=private	biz=0
2026-06-09	コンビニ	三井住友銀行	タバコ	500	tax=private	biz=0
2026-06-10	コンビニ	三井住友銀行	食費	308	tax=private	biz=0
2026-06-10	自動販売機	PayPay	缶コーヒー	100	tax=private	biz=0
2026-06-10	コンビニ	三井住友銀行	タバコ	500	tax=private	biz=0
2026-06-10	コンビニ	三井住友銀行	缶コーヒー	138	tax=private	biz=0
2026-06-10	povo	三井住友銀行	通信費	286	tax=private	biz=0
2026-06-11	コンビニ	三井住友銀行	タバコ	500	tax=private	biz=0
2026-06-11	コンビニ	三井住友銀行	缶コーヒー	138	tax=private	biz=0
2026-06-12	pasomoチャージ	三井住友銀行	交通費	500	tax=private	biz=0
2026-06-12	コンビニ	三井住友銀行	タバコ	500	tax=private	biz=0
2026-06-12	現金ひきだし600は子供カレー食堂	三井住友銀行	予備費	1000	tax=private	biz=0
2026-06-13	コンビニ	三井住友銀行	タバコ	500	tax=private	biz=0
2026-06-14	タバコ(母から借入)	母への借入	タバコ	500	tax=private	biz=0
2026-06-15	年金	年金収入	三井住友銀行	225276
2026-06-15	支援給付金	支援給付金	三井住友銀行	11240
2026-06-15	光熱費(電気10439+ガス4678+水道5885)	三井住友銀行	光熱費	21002
2026-06-15	家賃	三井住友銀行	家賃	64000
2026-06-15	母へのwifi返済	三井住友銀行	予備費	2000
2026-06-15	タバコ代母返済	三井住友銀行	母への借入	500
2026-06-15	海津さんに返済	三井住友銀行	借金返済	10000
2026-06-15	コンビニ	三井住友銀行	タバコ	500
2026-06-15	コンビニ(138缶コーヒー+ドーナツ)	三井住友銀行	食費	492
2026-06-15	書籍(社会の中の数理3350+線形代数新しい学び)	三井住友銀行	学習費	7700
2026-06-15	gpt-plus	三井住友銀行	AIサブスク	3000
2026-06-15	三和	三井住友銀行	食費	957
2026-06-15	書籍アマゾン差額(藤井恵)	三井住友銀行	日用品	546
2026-06-15	移動smbc->ゆうちょ	三井住友銀行	ゆうちょ銀行	5000
2026-06-15	移動smbc->オルカン	三井住友銀行	オルカン積立	2600

2026-06-15	wifi	三井住友銀行	通信費	4810
2026-06-16	コンビニ	三井住友銀行	タバコ	500
2026-06-16	コンビニ	三井住友銀行	缶コーヒー	138
2026-06-16	ダイソー、マイクロファイバー	三井住友銀行	日用品	110
2026-06-16	現金引き出し(500病院代)	三井住友銀行	予備費	2000
2026-06-16	ローゼン昼ごはん	三井住友銀行	食費	322
2026-06-17	コンビニ	三井住友銀行	タバコ	500
2026-06-17	コンビニ	三井住友銀行	缶コーヒー	138
2026-06-17	コンビニ	三井住友銀行	食費	330
2026-06-17	pasmo	三井住友銀行	交通費	500
2026-06-17	三和	三井住友銀行	食費	2613
2026-06-18	コンビニ	三井住友銀行	タバコ	500
2026-06-18	assets:smbc→assets:paypay	三井住友銀行	PayPay	3800
2026-06-18	健康保険料(6月分)	PayPay	保険料	2760	series=health-insurance	plan_id=plan-2026-06-18-health-insurance-regular
2026-06-18	健康保険料(滞納分)	PayPay	保険料	1000	series=health-insurance	plan_id=plan-2026-06-18-health-insurance-arrears
2026-06-18	PayPay残高調整(ポイント還元分)	ポイント収入	PayPay	57
2026-06-19	コンビニ	三井住友銀行	タバコ	500
2026-06-19	pasmoチャージ	三井住友銀行	交通費	500
2026-06-19	東急ストア朝ごはんパン	三井住友銀行	食費	382
2026-06-19	コンビニ	三井住友銀行	缶コーヒー	121
2026-06-19	三和	三井住友銀行	食費	706
2026-06-19	借金残高登録	友人への借入	開始残高	197706
2026-06-20	コンビニ	三井住友銀行	タバコ	500
2026-06-21	コンビニ	三井住友銀行	タバコ	500
2026-06-21	コンビニ	三井住友銀行	缶コーヒー	138
